,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
868,Китай,Коптерный тип,6.0,0.5,10.0,3000.0,Вертикальный,Вертикальный,Электрический,,54.0,В производстве,Quadrant,1.0,н/д,,,0.78
869,Китай,Коптерный тип,12.0,0.75,20.0,2000.0,Вертикальный,Вертикальный,Электрический,,45.0,В производстве,Quadrant,2.0,н/д,,,1.6
870,Китай,Коптерный тип,40.0,0.67,20.0,2000.0,Вертикальный,Вертикальный,Электрический,,45.0,В производстве,Quadrant,10.0,н/д,,,1.5
871,Китай,Коптерный тип,60.0,0.33,20.0,2000.0,Вертикальный,Вертикальный,Электрический,,45.0,В производстве,Quadrant,,н/д,,,
872,Китай,Вертолетный тип,,1.5,40.0,2100.0,Вертикальный,Вертикальный,ДВС,,120.0,В производстве,Avicopter,,н/д,,,
873,Китай,Вертолетный тип,,,40.0,2100.0,Вертикальный,Вертикальный,ДВС,,120.0,В производстве,Avicopter,,н/д,,,
874,Китай,Вертолетный тип,200.0,4.0,150.0,3000.0,Вертикальный,Вертикальный,Газотурбинный,,145.0,В производстве,Avicopter,70.0,н/д,,,
875,Китай,Вертолетный тип,300.0,7.0,200.0,3000.0,Вертикальный,Вертикальный,Газотурбинный,,175.0,В производстве,Avicopter,100.0,н/д,,,
876,Китай,Вертолетный тип,400.0,3.0,100.0,3600.0,Вертикальный,Вертикальный,Газотурбинный,,140.0,В производстве,Avicopter,,н/д,,,
877,Китай,Вертолетный тип,500.0,4.5,250.0,3600.0,Вертикальный,Вертикальный,Газотурбинный,,150.0,В производстве,Avicopter,140.0,н/д,,,
878,Китай,Вертолетный тип,1000.0,6.0,200.0,4000.0,Вертикальный,Вертикальный,Газотурбинный,,220.0,В производстве,Avicopter,260.0,н/д,,,
879,Китай,Самолетный тип,950.0,,350.0,3600.0,Вертикальный,Вертикальный,ДВС,,150.0,В разработке,Avicopter,,н/д,,,
880,Китай,Самолетный тип,,,30.0,5100.0,Пусковая установка,На фюзеляж,Газотурбинный,,4600.0,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,,,
881,Китай,Самолетный тип,,,25.0,4100.0,Пусковая установка,На фюзеляж,Газотурбинный,,980.0,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,,,
882,Китай,Самолетный тип,,,25.0,4100.0,Пусковая установка,На фюзеляж,Газотурбинный,,980.0,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,,,
883,Китай,Самолетный тип,,,30.0,4100.0,Пусковая установка,На фюзеляж,Газотурбинный,,980.0,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,,,
884,Китай,Самолетный тип,,,800.0,10500.0,Пусковая установка,Парашютная система,ДВС,,650.0,В разработке,Beijing Information Science & Technology University,,н/д,,,
885,Китай,Самолетный тип,,1.0,10.0,1300.0,Шасси,Шасси,Электрический,2.0,100.0,В производстве,Ba County Middle School,,н/д,,,
886,Греция,Самолетный тип,5.0,0.83,25.0,5000.0,Пусковая установка,Парашютная система,Электрический,1.2,80.0,В производстве,BSK Defense,,н/д,,,
887,Китай,Самолетный тип,700.0,16.0,500.0,5100.0,Шасси,Шасси,Газотурбинный,10.0,320.0,В производстве,Aviation Industry Corporation of China,100.0,н/д,,,
888,Китай,Самолетный тип,,,750.0,9100.0,н/д,н/д,ДВС,9.5,1500.0,В производстве,Aviation Industry Corporation of China,,н/д,,,
889,Китай,Самолетный тип,70.0,0.58,200.0,6100.0,"Пусковая установка, Шасси",Шасси,ДВС,2.4,450.0,В производстве,BMP,,н/д,,,
890,Китай,Вертолетный тип,5.0,,5.0,500.0,Вертикальный,Вертикальный,Электрический,,80.0,В производстве,Aisuo,,н/д,,1.6,
891,Китай,Самолетный тип,120.0,7.0,250.0,4600.0,Шасси,Шасси,ДВС,6.0,160.0,В производстве,Beijing MicroPilot,50.0,н/д,,,
892,Китай,Самолетный тип,20.0,3.0,20.0,4000.0,Шасси,Шасси,ДВС,3.0,140.0,В производстве,Aurora UAV Technology Co,7.0,н/д,,,
893,Китай,Самолетный тип,120.0,30.0,400.0,6000.0,Шасси,Шасси,ДВС,8.1,170.0,В производстве,Beijing MicroPilot,80.0,н/д,,,
894,Китай,Самолетный тип,20.0,3.0,20.0,4000.0,Шасси,Шасси,ДВС,2.4,140.0,В производстве,Aurora UAV Technology Co,10.0,н/д,,,
895,Китай,Вертолетный тип,10.2,0.33,10.0,4000.0,Вертикальный,Вертикальный,ДВС,,90.0,Снято с производства,Aurora UAV Technology Co,3.5,н/д,,1.84,
896,Китай,Коптерный тип,,,2.5,250.0,Вертикальный,Вертикальный,Электрический,,45.0,В производстве,Wuhan University of Technology,,н/д,,,
897,Китай,Вертолетный тип,30.7,,10.0,4000.0,Вертикальный,Вертикальный,ДВС,,70.0,Снято с производства,Aurora UAV Technology Co,10.0,н/д,,2.1,
898,Китай,Коптерный тип,6.5,0.58,5.0,2100.0,Вертикальный,Вертикальный,Электрический,,55.0,В производстве,Blue Sky Focus,,н/д,,,
899,Китай,Коптерный тип,0.052,0.5,0.15,100.0,Вертикальный,Вертикальный,Электрический,,36.0,В производстве,Art-Tech R/C Hobby Co,,н/д,,,
900,Китай,Вертолетный тип,12.0,,5.0,1000.0,Вертикальный,Вертикальный,Электрический,,70.0,В производстве,Art-Tech R/C Hobby Co,,н/д,,1.8,
901,Китай,Самолетный тип,,,3500.0,10500.0,Шасси,Шасси,ДВС,,820.0,Снято с производства,Nanjing University of Aeronautics and Astronautics,,н/д,,,
902,США,Коптерный тип,0.19,0.25,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,н/д,,,0.142
903,Китай,Вертолетный тип,35.0,0.83,10.0,1000.0,Вертикальный,Вертикальный,ДВС,,90.0,В производстве,Art-Tech R/C Hobby Co,15.0,н/д,,2.5,
904,Китай,Самолетный тип,10.0,,10.0,4100.0,Шасси,Шасси,ДВС,,120.0,В производстве,Nanjing University of Aeronautics and Astronautics,,н/д,,,
905,США,Коптерный тип,0.095,0.16,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,н/д,,,0.292
906,Китай,Вертолетный тип,45.0,,20.0,2100.0,Вертикальный,Вертикальный,ДВС,,120.0,В производстве,Beijing Ao-Feng-Li-Wei Science and Technology,,н/д,,2.25,
907,Китай,Вертолетный тип,50.0,,70.0,2100.0,Вертикальный,Вертикальный,ДВС,,70.0,В производстве,Oriental Titan,,н/д,,2.15,
908,Китай,Самолетный тип,,,40.0,3600.0,Шасси,Шасси,ДВС,,100.0,В производстве,Nanjing University of Aeronautics and Astronautics,,н/д,,,
909,США,Коптерный тип,0.008,0.13,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,н/д,,,0.092
910,Китай,Самолетный тип,,2.0,5.0,1200.0,Пусковая установка,На фюзеляж,ДВС,2.2,90.0,В производстве,An Hua Agricultural Insurance Co,,н/д,,,
911,Китай,Самолетный тип,,,2.5,1000.0,Шасси,Шасси,ДВС,,100.0,Снято с производства,Nanjing University of Aeronautics and Astronautics,,н/д,,,
912,США,Коптерный тип,0.0125,0.05,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,н/д,,,0.048
913,Колумбия,Самолетный тип,35.0,,300.0,3100.0,Шасси,Шасси,ДВС,2.2,100.0,В производстве,н/д,,н/д,,,
914,Китай,Вертолетный тип,220.0,0.75,40.0,4100.0,Вертикальный,Вертикальный,Электрический,,140.0,В производстве,Changhe Aircraft Industries Corporation,40.0,н/д,,3.86,
915,США,Коптерный тип,0.0165,0.16,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,н/д,,,0.14
916,Колумбия,Самолетный тип,50.0,,120.0,4300.0,Шасси,Шасси,ДВС,2.1,85.0,В производстве,н/д,,н/д,,,
917,Китай,Самолетный тип,80.0,3.0,100.0,3100.0,Шасси,Шасси,ДВС,,180.0,В производстве,Chengdu Aircraft Industry Group,20.0,н/д,,,
918,США,Коптерный тип,0.022,0.11,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,н/д,,,0.14
919,Колумбия,Коптерный тип,2.4,0.33,1.5,1000.0,Вертикальный,Вертикальный,Электрический,,20.0,В производстве,Advector Unmanned Systems,,н/д,,,
920,Китай,Самолетный тип,90.0,,100.0,4100.0,Пусковая установка,Шасси,ДВС,4.18,180.0,В производстве,Chengdu Aircraft Industry Group,20.0,н/д,,,
921,США,Коптерный тип,0.027,0.2,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,н/д,,,0.13
922,Китай,Самолетный тип,9100.0,6.5,7000.0,15000.0,Шасси,Шасси,ДВС,18.8,850.0,В производстве,Chengdu Aircraft Industry Group,,н/д,,,
923,Китай,Коптерный тип,0.012,0.13,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.04
924,Турция,Самолетный тип,14.0,,30.0,3000.0,Пусковая установка,На фюзеляж,Электрический,2.7,150.0,В производстве,SE Defense and Aviation,,н/д,,,
925,Турция,Самолетный тип,3.5,1.0,10.0,3500.0,С руки,На фюзеляж,Электрический,1.6,90.0,В производстве,Baykar Makina,,н/д,,,
926,Турция,Самолетный тип,12.0,1.5,15.0,4100.0,С руки,На фюзеляж,Электрический,1.6,120.0,В производстве,Global Teknik,,н/д,,,
927,Турция,Вертолетный тип,35.0,,15.0,2000.0,Вертикальный,Вертикальный,ДВС,,90.0,В производстве,Baykar,,н/д,,1.32,
928,Турция,Самолетный тип,85.0,2.0,50.0,3700.0,Пусковая установка,Парашютная система,ДВС,3.75,170.0,В производстве,Turkish Aerospace Industries,,н/д,,,
929,Турция,Самолетный тип,10.0,0.5,20.0,2100.0,Пусковая установка,На фюзеляж,ДВС,1.61,150.0,Снято с производства,Turkish Aerospace Industries,,н/д,,,
930,Турция,Самолетный тип,12.0,1.0,20.0,900.0,"Пусковая установка, Шасси",Шасси,ДВС,2.0,100.0,Снято с производства,Turkish Aerospace Industries,,н/д,,,
931,Турция,Самолетный тип,35.0,6.0,50.0,1600.0,Шасси,Шасси,ДВС,3.6,120.0,В производстве,Turkish Aerospace Industries,,н/д,,,
932,Турция,Вертолетный тип,325.0,,200.0,3100.0,Вертикальный,Вертикальный,ДВС,,120.0,В производстве,Turkish Aerospace Industries,,н/д,,5.95,
933,Турция,Самолетный тип,90.0,1.0,150.0,9000.0,Пусковая установка,На фюзеляж,Газотурбинный,1.5,740.0,В производстве,Turkish Aerospace Industries,,н/д,,,
934,Турция,Самолетный тип,70.0,,50.0,3700.0,Пусковая установка,На фюзеляж,Газотурбинный,2.7,330.0,В производстве,Turkish Aerospace Industries,,н/д,,,
935,Китай,Самолетный тип,9.0,4.0,40.0,2100.0,Шасси,Шасси,ДВС,2.61,90.0,Снято с производства,Chinese Academy of Sciences,1.0,н/д,,,
936,Китай,Коптерный тип,0.987,0.25,1.0,,Вертикальный,Вертикальный,Электрический,,36.0,В производстве,Cheerson,,GPS,,,0.3
937,Китай,Самолетный тип,80.0,,400.0,4100.0,Шасси,Шасси,ДВС,6.1,160.0,В производстве,Chinese Academy of Sciences,30.0,н/д,,,
938,Китай,Самолетный тип,,,15.0,3100.0,Шасси,Шасси,ДВС,,100.0,В производстве,Chinese Academy of Sciences,,н/д,,,
939,Китай,Коптерный тип,,0.67,2.5,350.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,China Aerospace Science and Industry Corporation,,GPS,,,
940,Китай,Коптерный тип,0.017,0.06,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.06
941,Китай,Самолетный тип,,1.0,20.0,3100.0,Пусковая установка,Парашютная система,Электрический,,100.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
942,Китай,Самолетный тип,6.0,0.75,15.0,3100.0,"Пусковая установка, С руки",Парашютная система,Электрический,,100.0,В производстве,China Aerospace Science and Industry Corporation,1.5,н/д,-20°C…50 °C,,
943,Китай,Коптерный тип,0.012,0.08,0.02,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.04
944,Китай,Самолетный тип,5.8,1.0,20.0,5100.0,"Пусковая установка, С руки",Парашютная система,Электрический,2.0,110.0,В производстве,China Aerospace Science and Industry Corporation,2.0,н/д,,,
945,Китай,Самолетный тип,,,15.0,2100.0,Шасси,Шасси,ДВС,,80.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
946,Китай,Коптерный тип,0.012,0.08,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.04
947,Китай,Самолетный тип,,4.5,250.0,3600.0,Пусковая установка,Парашютная система,ДВС,4.5,150.0,В производстве,China Aerospace Science and Industry Corporation,30.0,н/д,,,
948,Китай,Самолетный тип,,8.0,250.0,4100.0,Пусковая установка,Парашютная система,ДВС,4.5,150.0,В производстве,China Aerospace Science and Industry Corporation,30.0,н/д,,,
949,Китай,Коптерный тип,0.052,0.13,50.0,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.185
950,Китай,Самолетный тип,,3.5,120.0,3100.0,Пусковая установка,Парашютная система,ДВС,3.5,120.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
951,Китай,Самолетный тип,22.0,16.0,150.0,3500.0,Пусковая установка,Парашютная система,ДВС,3.5,140.0,В производстве,China Aerospace Science and Industry Corporation,5.0,н/д,,,
952,Китай,Самолетный тип,18.0,3.0,30.0,3500.0,Пусковая установка,Парашютная система,ДВС,2.7,140.0,В производстве,China Aerospace Science and Industry Corporation,5.0,н/д,,,
953,Китай,Коптерный тип,0.055,0.13,0.05,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.155
954,Китай,Самолетный тип,32.0,4.0,120.0,3900.0,Пусковая установка,Парашютная система,ДВС,3.0,130.0,В производстве,China Aerospace Science and Industry Corporation,5.0,н/д,,,
955,Китай,Самолетный тип,26.0,12.0,120.0,4100.0,Пусковая установка,Парашютная система,ДВС,3.6,120.0,В производстве,China Aerospace Science and Industry Corporation,5.0,н/д,,,
956,Китай,Коптерный тип,0.08,0.1,0.04,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.15
957,Китай,Самолетный тип,,3.0,150.0,4100.0,Шасси,Шасси,ДВС,3.98,140.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
958,Китай,Коптерный тип,0.23,0.23,0.5,100.0,Вертикальный,Вертикальный,Электрический,,54.0,В производстве,Cheerson,,GPS,,,0.245
959,Китай,Самолетный тип,85.0,6.0,100.0,3500.0,Шасси,"Парашютная система, Шасси",ДВС,4.6,140.0,В производстве,China Aerospace Science and Industry Corporation,15.0,н/д,,,
960,Китай,Самолетный тип,1000.0,9.0,350.0,9100.0,Пусковая установка,Парашютная система,ДВС,5.8,750.0,В производстве,China Aerospace Science and Industry Corporation,130.0,н/д,,,
961,Китай,Самолетный тип,85.0,6.0,150.0,3100.0,Шасси,Шасси,н/д,4.6,120.0,В производстве,China Aerospace Science and Industry Corporation,15.0,н/д,,,
962,Китай,Коптерный тип,0.5,0.25,0.3,,Вертикальный,Вертикальный,Электрический,,80.0,В производстве,Cheerson,,н/д,,,0.31
963,Китай,Самолетный тип,1.5,0.75,20.0,3100.0,С руки,Парашютная система,Электрический,,100.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,-20°C…55 °C,,
964,Китай,Коптерный тип,0.035,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.1
965,Китай,Самолетный тип,50.0,,40.0,4100.0,н/д,н/д,ДВС,1.85,110.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
966,Китай,Самолетный тип,,12.0,1200.0,4100.0,н/д,н/д,ДВС,2.0,120.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
967,Китай,Коптерный тип,0.12,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.155
968,Китай,Самолетный тип,120.0,,250.0,3600.0,Шасси,Шасси,ДВС,2.4,120.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
969,Китай,Самолетный тип,,,450.0,4600.0,Пусковая установка,Парашютная система,ДВС,,140.0,В производстве,China Aerospace Science and Industry Corporation,,н/д,,,
970,Китай,Коптерный тип,0.024,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,18.0,В производстве,Cheerson,,н/д,,,0.04
971,Китай,Коптерный тип,2.6,0.58,10.0,250.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,Chao-Yi Technology Research Institute Co,,н/д,-40°C…60°C,,
972,Китай,Коптерный тип,0.043,0.08,0.05,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.1
973,Китай,Коптерный тип,17.0,1.5,10.0,5000.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,Chao-Yi Technology Research Institute Co,8.0,"Beidou, GPS",— 20°C…60°C,,
974,Китай,Коптерный тип,0.043,0.08,0.1,,Вертикальный,Вертикальный,Электрический,,60.0,В производстве,Cheerson,,н/д,,,0.1
975,Китай,Самолетный тип,2.4,1.0,40.0,2100.0,С руки,н/д,Электрический,1.6,100.0,В производстве,North Navigation Control Technology Co,1.2,н/д,,,
976,Китай,Коптерный тип,0.257,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.275
977,Китай,Коптерный тип,0.039,0.11,0.03,,Вертикальный,Вертикальный,Электрический,,18.0,В производстве,Cheerson,,н/д,,,0.116
978,Китай,Коптерный тип,0.017,0.08,0.04,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,н/д,,,0.042
979,Китай,Самолетный тип,20.0,1.5,150.0,4000.0,Пусковая установка,Парашютная система,ДВС,2.9,150.0,В производстве,Chunyi Aviation Science and Technology Co,5.0,н/д,,,
980,Китай,Самолетный тип,18.0,2.0,250.0,4100.0,"Пусковая установка, Шасси","Парашютная система, Шасси",ДВС,2.7,140.0,В производстве,Chunyi Aviation Science and Technology Co,5.0,н/д,-10°C…55°C,,
981,Китай,Самолетный тип,35.0,3.0,150.0,5000.0,Пусковая установка,Парашютная система,ДВС,2.95,130.0,В производстве,Chunyi Aviation Science and Technology Co,16.0,н/д,,,
982,Китай,Коптерный тип,24.5,0.4,1.0,,Вертикальный,Вертикальный,Электрический,,79.2,В производстве,DJI,10.0,GPS,0°C…40°C,,1.52
983,Китай,Самолетный тип,3.5,1.0,50.0,4000.0,С руки,Шасси,Электрический,2.1,90.0,В производстве,Chunyi Aviation Science and Technology Co,1.0,н/д,,,
984,Китай,Самолетный тип,3.5,1.0,30.0,4000.0,С руки,Парашютная система,ДВС,2.3,90.0,В производстве,Chunyi Aviation Science and Technology Co,1.0,н/д,,,
985,Китай,Коптерный тип,3.6,0.46,3.5,,Вертикальный,Вертикальный,Электрический,,79.2,В производстве,DJI,3.4,GPS,-10°C…+40°C,,0.65
986,Китай,Самолетный тип,,1.0,,2000.0,Пусковая установка,Парашютная система,Электрический,1.87,120.0,В производстве,Chunyi Aviation Science and Technology Co,2.5,"GPS, Инерциальная навигация",-20°C до 55 °C,,
987,Китай,Самолетный тип,6.0,1.0,40.0,3600.0,Пусковая установка,Парашютная система,Электрический,1.87,140.0,В производстве,Chunyi Aviation Science and Technology Co,2.5,GPS,-20°C до 55 °C,,
988,Китай,Самолетный тип,2.9,1.0,40.0,3100.0,С руки,Парашютная система,Электрический,2.38,90.0,В производстве,Chunyi Aviation Science and Technology Co,,н/д,,,
989,Китай,Коптерный тип,15.5,0.63,5.0,,Вертикальный,Вертикальный,Электрический,,65.0,В производстве,DJI,6.0,GPS,-10°C…+40°C,,1.133
990,Китай,Самолетный тип,135.0,,120.0,5100.0,С руки,Парашютная система,ДВС,5.37,160.0,В производстве,Chunyi Aviation Science and Technology Co,,н/д,,,
991,Китай,Коптерный тип,6.14,0.63,8.0,3000.0,Вертикальный,Вертикальный,Электрический,,81.0,В производстве,DJI,1.45,"GPS, ГЛОНАСС",-20°…+50°C,,0.643
992,Китай,Коптерный тип,6.14,0.63,7.0,3000.0,Вертикальный,Вертикальный,Электрический,,82.2,В производстве,DJI,,"GPS, ГЛОНАСС",-20° C…+45° C,,0.643
993,Китай,Самолетный тип,6.7,1.33,30.0,3100.0,С руки,н/д,Электрический,2.13,90.0,В производстве,Chunyi Aviation Science and Technology Co,,н/д,,,
994,Китай,Коптерный тип,,,2.5,2100.0,Вертикальный,Вертикальный,Электрический,,36.0,В производстве,Chunyi Aviation Science and Technology Co,,н/д,,,
995,Китай,Коптерный тип,6.0,0.63,,,Вертикальный,Вертикальный,Электрический,,49.0,В производстве,DJI,1.96,GPS,-10°C…+50°C,,0.74
996,Китай,Коптерный тип,9.0,,10.0,750.0,Вертикальный,Вертикальный,Электрический,,30.0,В производстве,Chunyi Aviation Science and Technology Co,,GPS,,,
997,Китай,Коптерный тип,22.0,0.26,1.0,250.0,Вертикальный,Вертикальный,Электрический,,25.0,В производстве,Chunyi Aviation Science and Technology Co,,GPS,,,
998,Китай,Коптерный тип,6.14,0.63,7.0,3000.0,Вертикальный,Вертикальный,Электрический,,82.8,В производстве,DJI,2.3,GPS,-20° C…+45° C,,0.887
999,Китай,Коптерный тип,12.0,,10.0,1000.0,Вертикальный,Вертикальный,Электрический,,36.0,В производстве,Chunyi Aviation Science and Technology Co,,GPS,,,
1000,Китай,Коптерный тип,6.14,0.53,7.0,3000.0,Вертикальный,Вертикальный,Электрический,,82.8,В производстве,DJI,1.87,GPS,-20° C…+45° C,,0.887
1001,Китай,Самолетный тип,7.5,1.5,40.0,4000.0,Пусковая установка,Парашютная система,Электрический,2.1,140.0,В производстве,Creaton Technology Co.,1.5,н/д,,,
1002,Китай,Самолетный тип,6.5,1.5,50.0,2100.0,Пусковая установка,Парашютная система,Электрический,2.1,170.0,В производстве,Creaton Technology Co.,0.3,н/д,,,
1003,Китай,Коптерный тип,6.14,0.56,8.0,3000.0,Вертикальный,Вертикальный,Электрический,,81.0,В производстве,DJI,1.34,"GPS, ГЛОНАСС",-20°…+50°C,,0.883
1004,Китай,Самолетный тип,15.0,6.0,50.0,3500.0,Шасси,Шасси,ДВС,2.5,170.0,В производстве,Creaton Technology Co.,1.5,н/д,,,
1005,Китай,Коптерный тип,1.6,0.38,3.0,1000.0,Вертикальный,Вертикальный,Электрический,,40.0,В производстве,Creaton Technology Co.,0.3,GPS,,,
1006,Китай,Коптерный тип,,,2.0,250.0,Вертикальный,Вертикальный,Электрический,,36.0,В производстве,Creaton Technology Co.,,GPS,,,
1007,Китай,Коптерный тип,11.0,0.25,,,Вертикальный,Вертикальный,Электрический,,,В производстве,DJI,11.0,н/д,-10°C…+40°C,,1.045
1008,Китай,Вертолетный тип,32.0,1.0,20.0,1200.0,Вертикальный,Вертикальный,ДВС,,100.0,В производстве,Skyship-Century Aviation and Technology Co.,12.0,н/д,,,
1009,Китай,Коптерный тип,,0.66,2.5,350.0,Вертикальный,Вертикальный,Электрический,,40.0,В производстве,China Southern Power Grid Company,,GPS,,,
1010,Китай,Самолетный тип,140.0,,40.0,4100.0,Пусковая установка,Парашютная система,ДВС,4.3,210.0,В разработке,Northwestern Polytechnical University,28.0,н/д,,,
1011,Канада,Коптерный тип,1.47,0.21,,2438.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,DragonFly,0.42,GPS,,,0.725
1012,Китай,Вертолетный тип,,1.5,10.0,1000.0,Вертикальный,Вертикальный,ДВС,,110.0,В производстве,Divine Horse General Aviation Sport Co.,,н/д,,,
1013,США,Коптерный тип,0.0115,0.16,0.1,,Вертикальный,Вертикальный,Электрический,,,В производстве,Estes,,н/д,,,0.05
1014,США,Коптерный тип,0.058,0.11,0.072,,Вертикальный,Вертикальный,Электрический,,,В производстве,Estes,,н/д,,,0.113
1015,Китай,Коптерный тип,1.5,0.66,1.0,,Вертикальный,Вертикальный,Электрический,,55.0,В производстве,Hubsan,,GPS,,,0.26
1016,Китай,Коптерный тип,1.2,0.42,1.0,250.0,Вертикальный,Вертикальный,Электрический,,36.0,В производстве,DJI,,GPS,,,
1017,Китай,Коптерный тип,0.06,0.11,0.1,100.0,Вертикальный,Вертикальный,Электрический,,,В производстве,Hubsan,,н/д,,,0.114
1018,Китай,Коптерный тип,1.5,0.41,5.0,300.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,DJI,,н/д,0°C…40°C,,0.35
1019,Китай,Коптерный тип,0.051,0.11,0.1,,Вертикальный,Вертикальный,Электрический,,,В производстве,Hubsan,,н/д,,,0.07
1020,Китай,Коптерный тип,8.0,0.33,10.0,1000.0,Вертикальный,Вертикальный,Электрический,,70.0,В производстве,DJI,2.5,GPS,,,0.8
1021,Китай,Коптерный тип,0.045,0.15,0.1,100.0,Вертикальный,Вертикальный,Электрический,,30.0,В производстве,Hubsan,0.025,н/д,,,0.068
1022,Китай,Коптерный тип,8.2,0.58,10.0,1000.0,Вертикальный,Вертикальный,Электрический,,60.0,В производстве,DJI,,GPS,-10°C…+40°C,,0.9
1023,Китай,Вертолетный тип,0.24,0.5,2.5,1000.0,Вертикальный,Вертикальный,Электрический,,60.0,В производстве,Efly-Hobby Enterprise Group Co.,,н/д,,0.34,
1024,Китай,Коптерный тип,1.5,0.35,1.0,250.0,Вертикальный,Вертикальный,Электрический,,60.0,В производстве,Hubsan,,GPS,,,0.2
1025,Китай,Вертолетный тип,100.0,,25.0,1200.0,Вертикальный,Вертикальный,ДВС,,95.0,В производстве,Efly-Hobby Enterprise Group Co.,35.0,н/д,,3.0,
1026,Китай,Коптерный тип,0.0115,0.09,0.1,,Вертикальный,Вертикальный,Электрический,,,В производстве,Hubsan,,н/д,,,0.05
1027,Китай,Вертолетный тип,400.0,3.0,150.0,3500.0,Вертикальный,Вертикальный,ДВС,,130.0,В производстве,Elecpro,100.0,н/д,,5.1,
1028,Китай,Вертолетный тип,550.0,3.0,150.0,3500.0,Вертикальный,Вертикальный,ДВС,,130.0,В производстве,Elecpro,200.0,н/д,,6.3,
1029,Китай,Вертолетный тип,1500.0,3.0,150.0,3500.0,Вертикальный,Вертикальный,ДВС,,160.0,В производстве,Elecpro,650.0,н/д,,9.9,
1030,Китай,Самолетный тип,0.1,0.13,0.3,,Шасси,Шасси,Электрический,0.3108,40.0,В производстве,Hubsan,,GPS,,,
1031,Китай,Самолетный тип,150.0,2.0,100.0,4100.0,Пусковая установка,Парашютная система,ДВС,,120.0,В производстве,Emil Technology Co.,80.0,н/д,,,
1032,Китай,Вертолетный тип,120.0,1.0,20.0,2100.0,Вертикальный,Вертикальный,ДВС,,120.0,В производстве,SYIA,30.0,н/д,,,
1033,Китай,Коптерный тип,1.2,0.67,5.0,700.0,Вертикальный,Вертикальный,Электрический,,25.0,В производстве,Shenzhen AEE Technology co. Ltd.,,GPS,,,
1034,Китай,Коптерный тип,0.7,0.38,,,Вертикальный,Вертикальный,н/д,,60.0,В производстве,Hubsan,,"GPS, ГЛОНАСС",,,0.3
1035,Китай,Коптерный тип,30.0,1.5,50.0,2500.0,Вертикальный,Вертикальный,Электрический,,120.0,В производстве,FACRI,,н/д,,,
1036,Китай,Самолетный тип,,1.0,40.0,3100.0,Пусковая установка,н/д,ДВС,,120.0,В производстве,FJUT,,н/д,,,
1037,Китай,Коптерный тип,0.15,0.16,200.0,,Вертикальный,Вертикальный,Электрический,,,В производстве,Hubsan,,GPS,0°…+40° C,,0.225
