,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Тип двигателя,"Размах крыльев, м",Статус,Производитель,"Полезная нагрузка, кг",Диапазон рабочих температур,"Макс. скорость, км/ч"
722,Франция,Самолетный тип,60.0,0.6,200.0,6500.0,Газотурбинный,2.0,В производстве,Alcore Technologies,6.0,н/д,390.0
723,Германия,Самолетный тип,3000.0,,1000.0,5000.0,ДВС,10.0,Снято с производства,Argus Motoren GmbH,,н/д,120.0
724,Франция,Вертолетный тип,1.6,0.15,2.0,1000.0,Электрический,,В производстве,Alcore Technologies,,н/д,40.0
725,Франция,Самолетный тип,0.45,0.1,1.0,1000.0,Электрический,0.48,В разработке,Alcore Technologies,,н/д,70.0
726,Китай,Коптерный тип,0.3,0.26,0.05,4000.0,Электрический,,В производстве,DJI,,0°C…40°C,50.0
727,Германия,Коптерный тип,6.6,0.33,5.0,3000.0,Электрический,,Снято с производства,Aibotix,,−20°С..+40°С,35.0
728,Германия,Коптерный тип,14.0,,50.0,2100.0,ДВС,,Снято с производства,AiDrones,,н/д,100.0
729,Германия,Коптерный тип,25.0,,70.0,3000.0,ДВС,,Снято с производства,AiDrones,,н/д,110.0
730,Франция,Вертолетный тип,35.0,2.0,10.0,2100.0,ДВС,,В производстве,Cassidian,,н/д,70.0
731,Франция,Вертолетный тип,680.0,8.0,200.0,5100.0,Газотурбинный,,Снято с производства,Cassidian,180.0,н/д,205.0
732,Франция,Вертолетный тип,2.5,0.42,3.0,150.0,Электрический,,В разработке,Alcore Technologies,0.5,н/д,30.0
733,Франция,Самолетный тип,0.125,0.13,5.0,700.0,ДВС,0.25,В разработке,Alcore Technologies,0.025,н/д,60.0
734,Франция,Коптерный тип,1.2,0.5,2.0,150.0,Электрический,,В производстве,Parrot,,н/д,30.0
735,Франция,Коптерный тип,0.5,0.42,0.3,150.0,Электрический,,В производстве,Parrot,,н/д,64.0
736,Франция,Самолетный тип,0.75,0.75,40.0,3100.0,Электрический,1.15,В производстве,Parrot,,н/д,80.0
737,Франция,Коптерный тип,0.32,0.13,0.06,25.0,Электрический,0.32,В производстве,Parrot,,н/д,45.0
738,Франция,Самолетный тип,0.42,0.2,0.7,250.0,Электрический,,В производстве,Parrot,0.04,н/д,25.0
739,Франция,Самолетный тип,660.0,0.83,850.0,12000.0,Газотурбинный,3.16,Снято с производства,Nord Aviation,170.0,н/д,900.0
740,Франция,Самолетный тип,2550.0,0.23,770.0,19800.0,Газотурбинный,3.72,Снято с производства,Nord Aviation,1200.0,н/д,3290.0
741,Франция,Самолетный тип,14.5,2.5,30.0,4100.0,Электрический,3.8,В производстве,Thales Group,,н/д,120.0
742,Франция,Самолетный тип,14.5,2.5,42.0,4100.0,Электрический,3.5,В производстве,Thales Group,1.2,н/д,120.0
743,Франция,Вертолетный тип,40.0,1.0,80.0,1800.0,ДВС,,Снято с производства,Techno-Sud,,н/д,100.0
744,Франция,Самолетный тип,8.7,1.5,25.0,2500.0,Электрический,3.3,В производстве,Survey Copter,1.1,н/д,120.0
745,Франция,Коптерный тип,4.2,0.67,5.0,150.0,Электрический,,В производстве,Drone Volt,,н/д,60.0
746,Франция,Коптерный тип,1.0,0.08,1.5,300.0,Электрический,0.92,В производстве,Lehmann Aviation Ltd,,н/д,35.0
747,Франция,Вертолетный тип,15.0,2.0,10.0,1000.0,ДВС,,В производстве,ECA Group,5.0,н/д,90.0
748,Китай,Коптерный тип,0.899,0.5,8.0,6000.0,Электрический,,В производстве,Dajiang Innovation Technology,,0°C…40°C,72.0
749,Германия,Коптерный тип,1.6,0.23,2.5,4500.0,Электрический,,В разработке,Ascending Technologies,0.6,н/д,20.0
750,Франция,Коптерный тип,1.5,,5.0,1000.0,Электрический,,В производстве,Alcore Technologies,0.5,н/д,60.0
751,Германия,Вертолетный тип,35.0,2.0,80.0,3000.0,Газотурбинный,,Снято с производства,AiDrones,,н/д,120.0
752,Германия,Коптерный тип,8.0,,3.0,3000.0,Электрический,,В производстве,AirDrones,5.0,–10°С.. + 35°С,42.0
753,Франция,Самолетный тип,,,2500.0,13000.0,Электрический,,В разработке,Onera,,н/д,120.0
754,Франция,Самолетный тип,3.0,2.0,35.0,2100.0,Электрический,1.6,В производстве,Alcore Technologies,,н/д,105.0
755,Германия,Коптерный тип,40.0,,80.0,3000.0,ДВС,,Снято с производства,AiDrones,,н/д,130.0
756,Франция,Коптерный тип,4.0,0.25,2.0,500.0,Электрический,,В производстве,Drone Volt,,н/д,40.0
757,Китай,Коптерный тип,1.1,0.51,8.0,6000.0,Электрический,,В производстве,DJI,,-10°C…+40°C,72.0
758,Германия,Коптерный тип,2.3,0.36,10.0,1000.0,Электрический,,В производстве,Ascending Technologies,0.8,-5..+35,40.0
759,Франция,Самолетный тип,60.0,,153.0,6500.0,Газотурбинный,2.4,В разработке,Dassault Aviation,25.0,н/д,600.0
760,Франция,Самолетный тип,1.6,0.42,2.5,320.0,Электрический,0.92,В разработке,Lehmann Aviation Ltd,,н/д,45.0
761,Германия,Коптерный тип,0.71,0.33,5.0,4500.0,Электрический,,В производстве,Ascending Technologies,0.2,н/д,20.0
762,Китай,Коптерный тип,0.753,0.45,13.0,5000.0,Электрический,,В производстве,DJI,,0°C…40°C,65.0
763,Россия,Коптерный тип,23.0,5.0,200.0,2500.0,ДВС,,В производстве,R7 Technology,7.0,−20°С..+40°С,50.0
764,Германия,Коптерный тип,1.65,0.26,4.0,4000.0,Электрический,,В производстве,Ascending Technologies,6.5,н/д,25.0
765,Китай,Коптерный тип,0.907,0.31,18.0,6000.0,Электрический,,В производстве,DJI,,-10°C…+40°C,72.0
766,Германия,Коптерный тип,5.0,1.0,0.3,100.0,Электрический,,В производстве,Birdpilot,,н/д,45.0
767,Китай,Вертолетный тип,30.0,,5.0,1200.0,ДВС,,В производстве,Eastern Green Garden Plant Protection Machinery,,н/д,100.0
768,Германия,Коптерный тип,5.0,0.75,0.3,100.0,Электрический,,В производстве,Birdpilot,,н/д,60.0
769,Китай,Коптерный тип,0.905,0.51,8.0,6000.0,Электрический,,В производстве,DJI,,-10°C…+40°C,72.0
770,Китай,Самолетный тип,4200.0,20.0,1200.0,9000.0,ДВС,20.5,В производстве,Институт авиационных исследований и разработок Чэнду,,н/д,370.0
771,Германия,Самолетный тип,0.55,0.25,2.0,1000.0,Электрический,0.49,В разработке,Mavionics,,н/д,65.0
772,Китай,Коптерный тип,0.743,0.5,15.0,5000.0,Электрический,,В производстве,DJI,,0°…+40° C,65.0
773,Германия,Самолетный тип,5.0,1.5,65.0,4100.0,Электрический,3.3,В производстве,Mavionics,0.5,н/д,110.0
774,Германия,Самолетный тип,6.0,1.0,40.0,4600.0,Электрический,2.0,В производстве,Mavionics,1.5,н/д,65.0
775,Китай,Коптерный тип,3.5,0.3,5.0,4500.0,Электрический,,В производстве,DJI,,-10°C…+40°C,36.0
776,Китай,Коптерный тип,1.6,0.42,0.7,150.0,Электрический,,В производстве,Advanced Electronic Technology,0.7,–10°С..+50°С,72.0
777,Китай,Коптерный тип,1.6,0.42,0.7,250.0,Электрический,,В производстве,Advanced Electronic Technology,0.3,–10°С..+50°С,72.0
778,Китай,Коптерный тип,1.5,0.33,0.7,150.0,Электрический,,В производстве,Advanced Electronic Technology,,–10°С..+50°С,54.0
779,Китай,Коптерный тип,6.0,0.67,10.0,1000.0,Электрический,,В производстве,Advanced Electronic Technology,2.5,–20°С..+ 60°С,100.0
780,Китай,Вертолетный тип,14.0,,4.5,1000.0,Электрический,,В производстве,Chengdu Aeolus Helicopter,6.0,н/д,120.0
781,Китай,Самолетный тип,25.0,6.0,500.0,4100.0,ДВС,3.0,В производстве,AI Bird UAV Co,8.0,н/д,130.0
782,Китай,Самолетный тип,3.0,0.75,60.0,4000.0,Электрический,1.64,В производстве,AI Bird UAV Co,0.5,н/д,72.0
783,Китай,Самолетный тип,9.0,4.0,60.0,4600.0,ДВС,2.0,В производстве,AI Bird UAV Co,3.0,н/д,140.0
784,Китай,Самолетный тип,15.0,3.0,60.0,3100.0,ДВС,2.4,В производстве,AI Bird UAV Co,5.0,н/д,135.0
785,Китай,Самолетный тип,19.0,3.0,60.0,4100.0,ДВС,2.8,В производстве,AI Bird UAV Co,5.0,н/д,140.0
786,Китай,Самолетный тип,16.0,15.0,1500.0,3600.0,ДВС,,В производстве,AI Bird UAV Co,,н/д,140.0
787,Китай,Самолетный тип,20.0,4.0,60.0,3100.0,ДВС,1.0,В производстве,AI Bird UAV Co,5.0,н/д,120.0
788,Германия,Самолетный тип,161.0,3.5,100.0,3500.0,ДВС,3.42,В производстве,Rheinmetall,28.0,н/д,220.0
789,Китай,Коптерный тип,4.0,0.45,7.0,5000.0,Электрический,,В производстве,DJI,,−20°С..+40°С,94.0
790,Германия,Самолетный тип,1700.0,12.0,180.0,5500.0,ДВС,9.8,В разработке,Rheinmetall,440.0,н/д,285.0
791,Китай,Коптерный тип,1.391,0.5,7.0,6000.0,Электрический,,В производстве,DJI,,0°C…40°C,50.0
792,Германия,Самолетный тип,3250.0,2.0,200.0,6100.0,Газотурбинный,7.22,В разработке,Airbus,300.0,н/д,1040.0
793,Китай,Коптерный тип,1.216,0.41,0.5,6000.0,Электрический,,Снято с производства,DJI,,0°C…+20°C,57.6
794,Китай,Коптерный тип,1.28,0.38,5.0,6000.0,Электрический,,Снято с производства,DJI,,0°…+40° C,57.6
795,Германия,Самолетный тип,6.0,30.0,300.0,7000.0,ДВС,1.1,В производстве,Air & Spacecenter,,н/д,300.0
796,Китай,Коптерный тип,0.43,0.33,4.0,5000.0,Электрический,,В производстве,DJI,,0°…+40° C,68.4
797,Германия,Самолетный тип,7.0,0.75,6.0,3100.0,Электрический,1.1,В производстве,MAVinci,,н/д,80.0
798,Китай,Коптерный тип,1.388,0.5,7.0,6000.0,Электрический,,Снято с производства,DJI,,0°…+40° C,72.0
799,Германия,Коптерный тип,5.0,0.5,3.5,1000.0,Электрический,0.75,В производстве,MikroKopte,,н/д,30.0
800,Германия,Коптерный тип,2.7,0.5,2.5,200.0,Электрический,,В производстве,Multirotor,1.25,н/д,30.0
801,Германия,Коптерный тип,6.0,0.33,2.0,250.0,Электрический,,В производстве,Multirotor,2.5,н/д,60.0
802,Китай,Коптерный тип,0.08,0.21,0.1,10.0,Электрический,,В производстве,"DJI, Intel, Ryze Technology",,н/д,28.8
803,Германия,Коптерный тип,12.0,0.5,2.0,250.0,Электрический,,В производстве,Multirotor,6.5,н/д,50.0
804,Китай,Коптерный тип,1.375,0.5,7.0,6000.0,Электрический,,В производстве,DJI,,0°…+40° C,72.0
805,Германия,Коптерный тип,5.0,0.33,2.0,200.0,Электрический,,В производстве,Multirotor,2.3,н/д,30.0
806,Германия,Самолетный тип,12.0,4.0,150.0,5000.0,ДВС,1.0,Снято с производства,Rheinmetall,,н/д,160.0
807,Китай,Самолетный тип,92.0,1.0,40.0,5100.0,ДВС,2.68,Снято с производства,Aisheng Technology Group Co,10.0,н/д,360.0
808,Китай,Самолетный тип,105.0,1.0,5.0,4600.0,ДВС,2.68,В производстве,Aisheng Technology Group Co,10.0,н/д,360.0
809,Китай,Самолетный тип,140.0,2.0,50.0,4600.0,ДВС,4.3,Снято с производства,Aisheng Technology Group Co,30.0,н/д,250.0
810,Китай,Самолетный тип,170.0,2.0,150.0,10000.0,Газотурбинный,2.16,В производстве,Aisheng Technology Group Co,20.0,н/д,850.0
811,Китай,Самолетный тип,220.0,8.0,150.0,4600.0,ДВС,6.0,В производстве,Aisheng Technology Group Co,50.0,н/д,210.0
812,Китай,Самолетный тип,270.0,16.0,600.0,5100.0,ДВС,5.48,Снято с производства,Aisheng Technology Group Co,,н/д,250.0
813,Китай,Самолетный тип,320.0,10.0,200.0,5000.0,ДВС,7.5,В производстве,Aisheng Technology Group Co,50.0,н/д,180.0
814,Китай,Самолетный тип,0.22,0.42,2.5,200.0,Электрический,0.6,В производстве,Aisheng Technology Group Co,,н/д,40.0
815,Китай,Самолетный тип,50.0,5.0,40.0,4800.0,ДВС,4.2,В производстве,Aisheng Technology Group Co,12.0,н/д,120.0
816,Китай,Самолетный тип,5.0,0.58,15.0,2100.0,Электрический,,В производстве,Aisheng Technology Group Co,,н/д,180.0
817,Китай,Самолетный тип,220.0,5.0,200.0,5100.0,ДВС,5.0,В производстве,Aisheng Technology Group Co,60.0,н/д,200.0
818,Китай,Самолетный тип,20.0,6.0,40.0,4500.0,ДВС,3.75,В производстве,Aisheng Technology Group Co,6.0,н/д,140.0
819,Китай,Самолетный тип,5.5,1.5,20.0,3100.0,ДВС,2.7,В производстве,Aisheng Technology Group Co,1.5,н/д,120.0
820,Китай,Самолетный тип,40.0,6.0,42.0,4600.0,ДВС,,В производстве,Aisheng Technology Group Co,,н/д,140.0
821,Китай,Самолетный тип,55.0,,40.0,4600.0,ДВС,,В производстве,Aisheng Technology Group Co,,н/д,140.0
822,Китай,Самолетный тип,700.0,16.0,250.0,5100.0,ДВС,14.6,В производстве,Aisheng Technology Group Co,,н/д,230.0
823,Греция,Самолетный тип,500.0,20.0,200.0,7000.0,ДВС,11.0,В разработке,BSK Defense,,н/д,160.0
824,Китай,Самолетный тип,210.0,5.0,400.0,5100.0,ДВС,,В производстве,Aisheng Technology Group Co,20.0,н/д,320.0
825,Греция,Самолетный тип,43.0,1.1,42.0,3600.0,ДВС,2.07,В производстве,EADS,14.0,н/д,230.0
826,Китай,Самолетный тип,270.0,,500.0,5100.0,ДВС,,В производстве,Aisheng Technology Group Co,,н/д,250.0
827,Китай,Самолетный тип,53.0,1.0,15.0,4100.0,ДВС,2.7,Снято с производства,Aisheng Technology Group Co,5.0,н/д,250.0
828,Китай,Самолетный тип,230.0,4.0,150.0,5100.0,ДВС,,Снято с производства,Aisheng Technology Group Co,,н/д,250.0
829,Тайвань,Коптерный тип,3.4,0.16,1.0,700.0,Электрический,,В производстве,Align,,-20°…65°C,54.0
830,Китай,Самолетный тип,250.0,,250.0,5100.0,ДВС,,Снято с производства,Aisheng Technology Group Co,,н/д,250.0
831,Греция,Самолетный тип,7.0,1.67,35.0,4200.0,Электрический,2.0,В производстве,BSK Defense,,н/д,70.0
832,Китай,Самолетный тип,320.0,12.0,350.0,5100.0,ДВС,6.5,В производстве,Aisheng Technology Group Co,,н/д,230.0
833,Греция,Самолетный тип,90.0,0.55,120.0,6100.0,Газотурбинный,2.21,В производстве,EADS,15.0,н/д,820.0
834,Китай,Самолетный тип,1700.0,3.0,2500.0,18000.0,Газотурбинный,9.8,В производстве,Aisheng Technology Group Co,80.0,н/д,750.0
835,Тайвань,Коптерный тип,2.7,0.33,,0.7,Электрический,,В производстве,Align,,-20°…65°C,54.0
836,Греция,Самолетный тип,200.0,1.0,120.0,7100.0,Газотурбинный,2.9,В производстве,EADS,50.0,н/д,850.0
837,Греция,Самолетный тип,100.0,1.5,100.0,4900.0,ДВС,2.9,В производстве,EADS,45.0,н/д,325.0
838,Китай,Самолетный тип,,,1200.0,10500.0,Газотурбинный,,В производстве,Aviation Industry Corporation of China,,н/д,750.0
839,Тайвань,Коптерный тип,2.5,0.33,,700.0,Электрический,,В производстве,Align,,-20°…80°C,54.0
840,Китай,Самолетный тип,,,1500.0,11000.0,Газотурбинный,,В производстве,Aviation Industry Corporation of China,,н/д,850.0
841,Греция,Самолетный тип,130.0,3.5,120.0,4100.0,ДВС,5.0,Снято с производства,Hellenic Aerospace Industry,,н/д,160.0
842,Тайвань,Коптерный тип,0.096,0.13,,,Электрический,,В производстве,Align,,н/д,
843,Китай,Самолетный тип,55.0,4.0,150.0,4100.0,ДВС,,В производстве,Aviation Industry Corporation of China,,н/д,120.0
844,Греция,Самолетный тип,250.0,15.0,200.0,4600.0,н/д,6.2,В производстве,Hellenic Aerospace Industry,50.0,н/д,160.0
845,Китай,Вертолетный тип,,0.67,10.0,2100.0,ДВС,,В производстве,Aviation Industry Corporation of China,,н/д,90.0
846,Китай,Самолетный тип,700.0,,250.0,5100.0,Газотурбинный,,В производстве,Aviation Industry Corporation of China,,н/д,450.0
847,Китай,Самолетный тип,,,1000.0,12000.0,Газотурбинный,,Снято с производства,Aviation Industry Corporation of China,,н/д,780.0
848,Греция,Самолетный тип,110.0,12.0,250.0,7000.0,ДВС,5.1,Снято с производства,EADS,,н/д,220.0
849,Китай,Самолетный тип,,0.42,2.5,1200.0,Электрический,,В производстве,Aviation Industry Corporation of China,,н/д,90.0
850,США,Коптерный тип,0.68,0.23,,,Электрический,,В производстве,Blade,,н/д,14.4
851,Китай,Вертолетный тип,,,850.0,4500.0,Газотурбинный,,В производстве,Aviation Industry Corporation of China,,н/д,350.0
852,Греция,Самолетный тип,190.0,9.0,200.0,4200.0,ДВС,6.0,В разработке,"CSL, Intracom Defense Electronics, LFMT, LRA, MLS, Spacesonic Ltd",35.0,н/д,220.0
853,США,Коптерный тип,1.0,0.2,0.3,,Электрический,,В производстве,Blade,,н/д,14.4
854,Китай,Самолетный тип,480.0,,200.0,5000.0,ДВС,,Снято с производства,Aviation Industry Corporation of China,,н/д,90.0
855,Греция,Самолетный тип,28.0,1.08,100.0,5300.0,Газотурбинный,2.2,В производстве,BSK Defense,,н/д,450.0
856,Греция,Самолетный тип,45.0,3.6,100.0,4200.0,ДВС,3.8,В производстве,BSK Defense,,н/д,180.0
857,США,Коптерный тип,0.955,0.25,,,Электрический,,В производстве,Blade,,–10°С..+50°С,14.4
858,Китай,Самолетный тип,6.0,,120.0,4600.0,ДВС,2.4,В производстве,Aviation Industry Corporation of China,,н/д,160.0
859,Китай,Самолетный тип,5.5,1.5,20.0,2100.0,Электрический,1.7,В производстве,Quadrant,1.5,н/д,105.0
860,Китай,Самолетный тип,8.0,2.0,140.0,4000.0,Электрический,3.0,В производстве,Quadrant,1.5,н/д,150.0
861,Китай,Самолетный тип,22.0,8.0,800.0,3600.0,ДВС,3.3,В производстве,Quadrant,3.0,н/д,130.0
862,Китай,Самолетный тип,30.0,,400.0,4000.0,ДВС,3.25,В производстве,Quadrant,,н/д,110.0
863,Китай,Самолетный тип,100.0,6.0,700.0,4000.0,ДВС,4.5,В производстве,Quadrant,20.0,н/д,150.0
864,Китай,Самолетный тип,320.0,,250.0,4600.0,ДВС,9.2,В разработке,Quadrant,,н/д,135.0
865,Китай,Самолетный тип,96.0,,100.0,2100.0,ДВС,,В производстве,Quadrant,,н/д,110.0
866,Китай,Коптерный тип,6.0,0.5,10.0,3000.0,Электрический,,В производстве,Quadrant,1.0,н/д,54.0
867,Китай,Коптерный тип,12.0,0.75,20.0,2000.0,Электрический,,В производстве,Quadrant,2.0,н/д,45.0
868,Китай,Коптерный тип,40.0,0.67,20.0,2000.0,Электрический,,В производстве,Quadrant,10.0,н/д,45.0
869,Китай,Коптерный тип,60.0,0.33,20.0,2000.0,Электрический,,В производстве,Quadrant,,н/д,45.0
870,Китай,Вертолетный тип,,1.5,40.0,2100.0,ДВС,,В производстве,Avicopter,,н/д,120.0
871,Китай,Вертолетный тип,,,40.0,2100.0,ДВС,,В производстве,Avicopter,,н/д,120.0
872,Китай,Вертолетный тип,200.0,4.0,150.0,3000.0,Газотурбинный,,В производстве,Avicopter,70.0,н/д,145.0
873,Китай,Вертолетный тип,300.0,7.0,200.0,3000.0,Газотурбинный,,В производстве,Avicopter,100.0,н/д,175.0
874,Китай,Вертолетный тип,400.0,3.0,100.0,3600.0,Газотурбинный,,В производстве,Avicopter,,н/д,140.0
875,Китай,Вертолетный тип,500.0,4.5,250.0,3600.0,Газотурбинный,,В производстве,Avicopter,140.0,н/д,150.0
876,Китай,Вертолетный тип,1000.0,6.0,200.0,4000.0,Газотурбинный,,В производстве,Avicopter,260.0,н/д,220.0
877,Китай,Самолетный тип,950.0,,350.0,3600.0,ДВС,,В разработке,Avicopter,,н/д,150.0
878,Китай,Самолетный тип,,,30.0,5100.0,Газотурбинный,,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,4600.0
879,Китай,Самолетный тип,,,25.0,4100.0,Газотурбинный,,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,980.0
880,Китай,Самолетный тип,,,25.0,4100.0,Газотурбинный,,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,980.0
881,Китай,Самолетный тип,,,30.0,4100.0,Газотурбинный,,В производстве,Wei-Biao-Zhi-Yuan Science and Technology Development Co,,н/д,980.0
882,Китай,Самолетный тип,,,800.0,10500.0,ДВС,,В разработке,Beijing Information Science & Technology University,,н/д,650.0
883,Китай,Самолетный тип,,1.0,10.0,1300.0,Электрический,2.0,В производстве,Ba County Middle School,,н/д,100.0
884,Греция,Самолетный тип,5.0,0.83,25.0,5000.0,Электрический,1.2,В производстве,BSK Defense,,н/д,80.0
885,Китай,Самолетный тип,700.0,16.0,500.0,5100.0,Газотурбинный,10.0,В производстве,Aviation Industry Corporation of China,100.0,н/д,320.0
886,Китай,Самолетный тип,,,750.0,9100.0,ДВС,9.5,В производстве,Aviation Industry Corporation of China,,н/д,1500.0
887,Китай,Самолетный тип,70.0,0.58,200.0,6100.0,ДВС,2.4,В производстве,BMP,,н/д,450.0
888,Китай,Вертолетный тип,5.0,,5.0,500.0,Электрический,,В производстве,Aisuo,,н/д,80.0
889,Китай,Самолетный тип,120.0,7.0,250.0,4600.0,ДВС,6.0,В производстве,Beijing MicroPilot,50.0,н/д,160.0
890,Китай,Самолетный тип,20.0,3.0,20.0,4000.0,ДВС,3.0,В производстве,Aurora UAV Technology Co,7.0,н/д,140.0
891,Китай,Самолетный тип,120.0,30.0,400.0,6000.0,ДВС,8.1,В производстве,Beijing MicroPilot,80.0,н/д,170.0
892,Китай,Самолетный тип,20.0,3.0,20.0,4000.0,ДВС,2.4,В производстве,Aurora UAV Technology Co,10.0,н/д,140.0
893,Китай,Вертолетный тип,10.2,0.33,10.0,4000.0,ДВС,,Снято с производства,Aurora UAV Technology Co,3.5,н/д,90.0
894,Китай,Коптерный тип,,,2.5,250.0,Электрический,,В производстве,Wuhan University of Technology,,н/д,45.0
895,Китай,Вертолетный тип,30.7,,10.0,4000.0,ДВС,,Снято с производства,Aurora UAV Technology Co,10.0,н/д,70.0
896,Китай,Коптерный тип,6.5,0.58,5.0,2100.0,Электрический,,В производстве,Blue Sky Focus,,н/д,55.0
897,Китай,Коптерный тип,0.052,0.5,0.15,100.0,Электрический,,В производстве,Art-Tech R/C Hobby Co,,н/д,36.0
898,Китай,Вертолетный тип,12.0,,5.0,1000.0,Электрический,,В производстве,Art-Tech R/C Hobby Co,,н/д,70.0
899,Китай,Самолетный тип,,,3500.0,10500.0,ДВС,,Снято с производства,Nanjing University of Aeronautics and Astronautics,,н/д,820.0
900,США,Коптерный тип,0.19,0.25,,,Электрический,,В производстве,Blade,,н/д,
901,Китай,Вертолетный тип,35.0,0.83,10.0,1000.0,ДВС,,В производстве,Art-Tech R/C Hobby Co,15.0,н/д,90.0
902,Китай,Самолетный тип,10.0,,10.0,4100.0,ДВС,,В производстве,Nanjing University of Aeronautics and Astronautics,,н/д,120.0
903,США,Коптерный тип,0.095,0.16,,,Электрический,,В производстве,Blade,,н/д,
904,Китай,Вертолетный тип,45.0,,20.0,2100.0,ДВС,,В производстве,Beijing Ao-Feng-Li-Wei Science and Technology,,н/д,120.0
905,Китай,Вертолетный тип,50.0,,70.0,2100.0,ДВС,,В производстве,Oriental Titan,,н/д,70.0
906,Китай,Самолетный тип,,,40.0,3600.0,ДВС,,В производстве,Nanjing University of Aeronautics and Astronautics,,н/д,100.0
907,США,Коптерный тип,0.008,0.13,,,Электрический,,В производстве,Blade,,н/д,
908,Китай,Самолетный тип,,2.0,5.0,1200.0,ДВС,2.2,В производстве,An Hua Agricultural Insurance Co,,н/д,90.0
909,Китай,Самолетный тип,,,2.5,1000.0,ДВС,,Снято с производства,Nanjing University of Aeronautics and Astronautics,,н/д,100.0
910,США,Коптерный тип,0.0125,0.05,,,Электрический,,В производстве,Blade,,н/д,
911,Колумбия,Самолетный тип,35.0,,300.0,3100.0,ДВС,2.2,В производстве,н/д,,н/д,100.0
912,Китай,Вертолетный тип,220.0,0.75,40.0,4100.0,Электрический,,В производстве,Changhe Aircraft Industries Corporation,40.0,н/д,140.0
913,США,Коптерный тип,0.0165,0.16,,,Электрический,,В производстве,Blade,,н/д,
914,Колумбия,Самолетный тип,50.0,,120.0,4300.0,ДВС,2.1,В производстве,н/д,,н/д,85.0
915,Китай,Самолетный тип,80.0,3.0,100.0,3100.0,ДВС,,В производстве,Chengdu Aircraft Industry Group,20.0,н/д,180.0
916,США,Коптерный тип,0.022,0.11,,,Электрический,,В производстве,Blade,,н/д,
917,Колумбия,Коптерный тип,2.4,0.33,1.5,1000.0,Электрический,,В производстве,Advector Unmanned Systems,,н/д,20.0
918,Китай,Самолетный тип,90.0,,100.0,4100.0,ДВС,4.18,В производстве,Chengdu Aircraft Industry Group,20.0,н/д,180.0
919,США,Коптерный тип,0.027,0.2,,,Электрический,,В производстве,Blade,,н/д,
920,Китай,Самолетный тип,9100.0,6.5,7000.0,15000.0,ДВС,18.8,В производстве,Chengdu Aircraft Industry Group,,н/д,850.0
921,Китай,Коптерный тип,0.012,0.13,,,Электрический,,В производстве,Cheerson,,н/д,
922,Турция,Самолетный тип,14.0,,30.0,3000.0,Электрический,2.7,В производстве,SE Defense and Aviation,,н/д,150.0
923,Турция,Самолетный тип,3.5,1.0,10.0,3500.0,Электрический,1.6,В производстве,Baykar Makina,,н/д,90.0
924,Турция,Самолетный тип,12.0,1.5,15.0,4100.0,Электрический,1.6,В производстве,Global Teknik,,н/д,120.0
925,Турция,Вертолетный тип,35.0,,15.0,2000.0,ДВС,,В производстве,Baykar,,н/д,90.0
926,Турция,Самолетный тип,85.0,2.0,50.0,3700.0,ДВС,3.75,В производстве,Turkish Aerospace Industries,,н/д,170.0
927,Турция,Самолетный тип,10.0,0.5,20.0,2100.0,ДВС,1.61,Снято с производства,Turkish Aerospace Industries,,н/д,150.0
928,Турция,Самолетный тип,12.0,1.0,20.0,900.0,ДВС,2.0,Снято с производства,Turkish Aerospace Industries,,н/д,100.0
929,Турция,Самолетный тип,35.0,6.0,50.0,1600.0,ДВС,3.6,В производстве,Turkish Aerospace Industries,,н/д,120.0
930,Турция,Вертолетный тип,325.0,,200.0,3100.0,ДВС,,В производстве,Turkish Aerospace Industries,,н/д,120.0
931,Турция,Самолетный тип,90.0,1.0,150.0,9000.0,Газотурбинный,1.5,В производстве,Turkish Aerospace Industries,,н/д,740.0
932,Турция,Самолетный тип,70.0,,50.0,3700.0,Газотурбинный,2.7,В производстве,Turkish Aerospace Industries,,н/д,330.0
933,Китай,Самолетный тип,9.0,4.0,40.0,2100.0,ДВС,2.61,Снято с производства,Chinese Academy of Sciences,1.0,н/д,90.0
934,Китай,Коптерный тип,0.987,0.25,1.0,,Электрический,,В производстве,Cheerson,,н/д,36.0
935,Китай,Самолетный тип,80.0,,400.0,4100.0,ДВС,6.1,В производстве,Chinese Academy of Sciences,30.0,н/д,160.0
936,Китай,Самолетный тип,,,15.0,3100.0,ДВС,,В производстве,Chinese Academy of Sciences,,н/д,100.0
937,Китай,Коптерный тип,,0.67,2.5,350.0,Электрический,,В производстве,China Aerospace Science and Industry Corporation,,н/д,50.0
938,Китай,Коптерный тип,0.017,0.06,0.03,,Электрический,,В производстве,Cheerson,,н/д,
939,Китай,Самолетный тип,,1.0,20.0,3100.0,Электрический,,В производстве,China Aerospace Science and Industry Corporation,,н/д,100.0
940,Китай,Самолетный тип,6.0,0.75,15.0,3100.0,Электрический,,В производстве,China Aerospace Science and Industry Corporation,1.5,-20°C…50 °C,100.0
941,Китай,Коптерный тип,0.012,0.08,0.02,,Электрический,,В производстве,Cheerson,,н/д,
